N          N!         inf        avg        
          1          1         17         17
          2          2         31         31
          3          6         78         78
          4         24        281        281
          5        120       1355       1355
          6        720       8069       8069
          7       5040      56516      56516
          8      40320     453163     453163
          9     362880    4088361    4088361
         10    3628800   40974839   40974839
         11   39916800  451618970  451618970
         12  479001600 5428949729 5428949729
